channel_name,subscriber_count,video_id,video_title,video_description,published_date,view_count,like_count,comment_text,comment_likes,comment_date
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,최근에 영상 보고 에잇세컨즈 벨트랑 아디다스 버뮤다까지 구매 완료했어요ㅎㅎ항상 따라사게 되는 유일한 유튜버입니당! 저두 댓글남겨봅니다아,0,2024-09-30T04:32:29Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,애쉬아워 니트들 디자인이 예쁘네요! 가을에 잘 어울리는 브랜드 같아요!,0,2024-09-30T08:58:20Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,단추가 정말 포인트네요<br>단추만 따로 봤을 때는 조금 과하지않나 생각이 들지만 전체적으로 봤을 때 굉장히 예쁩니다<br>진짜 탐난다...,0,2024-09-30T03:37:31Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,헐 애쉬아워 영상 오랜만이네용ㅠㅜ 금장버튼 디테일이 너무 이뻐용...데릭님 말씀처럼 정갈하면서도 툭툭 내비치는 디테일이...정말 이쁘네요ㅠㅜ,0,2024-09-29T15:16:49Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,네이비 m<br>데릭아.. 형 추석용돈 탕진시킨지 얼마나 됐다고... 그래도 추천해준 옷 입고 나가면 자존감 올라가고 좋다.. 고맙다,0,2024-09-29T16:16:12Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,데릭님 유튜브 본 지도 엄청 오래 됐지만 요새 영상이 자주 올라와서 너무 좋습니다 매번 데릭님 만의 영상미와 셀렉하시는 아이템들 모두 너무 마음에 들어요,0,2024-09-30T02:37:41Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,겨울때 더플코트랑 같이 입으면 잘어울릴듯한 옷들이네요! 애쉬아워에서 쇼핑좀해야겠네요,0,2024-09-29T17:14:31Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,꾸준하게 챙겨보는게 매영상 안살수 없는 아이템밖에 없네요… 감사합니다!,0,2024-09-30T05:00:09Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,"<a href=""https://www.youtube.com/watch?v=e9lEJnyjvQU&amp;t=259"">4:19</a> 저렇게 입는 스타일 너무 좋다,,,,🥹 꼭 저렇게 따라 입어봐야겠어요.. 가디건도 너무 이쁩니다!!!!",0,2024-09-29T14:11:11Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,진짜 요즘 폼 미치신거 같아여 올라오는 코디마다 완전 .. 그리고 이번 애쉬아워 라운드 가디건은 진짜 폼이 장난아니네여😮,0,2024-09-30T01:18:14Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,니트인데 롱슬리브처럼 편하게 데일리로 입기 좋아보여요!! 네이비 간절히 원한다!!,0,2024-09-29T13:19:30Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,매일 매일 영상 기다립니다 요즘 무슨 옷을 사야되지 고민이 너무 많은데 데릭님 덕분에 제 스타일도 알게 되고 너무 좋아요 항상 좋은 영상 감사합니다!!😊,0,2024-09-29T14:09:08Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,애쉬아워 라는 브랜드도 데릭님을 통해 처음 접해보게 되었어요! 브랜드 철학이 &#39;미니멀한 디자인에 브랜드만의 감성적인 요소를 더하여 당위성을 부가합니다. 높은 퀄리티를 위해 엄선한 원단과 군더더기 없는 부자재를 사용하여 의류로 하여금 높은 만족도를 전달하고자 합니다.&#39; 이던데 확실히 옷들에서 그런 철학이 잘 담겨있어 좋은 것 같아요! 좋은 브랜드와 좋은 퀄리티를 가진 영상이 만나니 눈이 즐겁네요 ㅎㅎ,0,2024-09-29T23:19:04Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,요즘 너무 열일하시는거 아니예요? 추천해주신 지플리쉬 가디건 도착했는데 너무 마음에 드네요 애쉬아워 제품도 고려해봐야겠어요!,0,2024-09-29T15:21:20Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,데릭님 보면서 텅장이되고있습니다 ㅠㅠ <br>앞으로도 좋은 옷 많이 추천해주세요,0,2024-09-29T22:22:45Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,와 금장포인트 너무 이쁩니다.. 너무 열심히 하시는거 아닙니까!!😂 영상 항상 너무 잘보고 있어요!! 제 추구미가 있는데 너무 도움 많이 됩니당!!,0,2024-09-29T13:09:51Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,라운드넥 가디건이 없었는데 이번 기회로 애쉬아워 제품의 라운드넥 가디건 입어보고 싶습니다 !!,0,2024-09-29T13:47:22Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,가디건에 버튼이 너무너무 제 스타일이네요! 진짜 전체적으로 버튼이 정말 매력있는 브랜드인것같아요 ㅎㅎ,0,2024-09-29T13:14:15Z
